company_name,stock_code
SINOSTAR PEC HOLDINGS LTD,C9Q
STARHUB LTD.,CC3
DASIN RETAIL TRUST,CEDU
CITIC ENVIROTECH LTD,CEE
BEST WORLD INTERNATIONAL LTD,CGN
NOBLE GROUP ,CGP
CHINA SUNSINE CHEMICAL HOLDINGS LTD.,CH8
UNI-ASIA GROUP LIMITED,CHJ
HRNETGROUP LTD,CHZ
NETLINK NBN TRUST,CJLU
BRITISH AND MALAYAN HOLDINGS LTD,CJN
APAC REALTY LTD,CLN
KEPPEL PACIFIC OAK US REIT,CMOU
MINDCHAMPS PRESCHOOL LTD,CNE
CROMWELL EUROPEAN REIT,CNNU
SASSEUR REIT,CRPU
BREADTALK GROUP LTD,CTN
HLH GROUP LTD,CTO
YONG XIN INTERNATIONAL HLDGS LTD,CX5
ASCENDAS INDIA TRUST,CY6U
TRICKLESTAR LTD,CYW
DUTECH HOLDINGS LTD,CZ4
DEL MONTE PACIFIC LTD,D03
DBS GROUP HOLDINGS LTD,D05
DEVOTION ENERGY GROUP LIMITED,D08
DESIGN STUDIO GROUP LTD ,D11
ARA ASSET MANAGEMENT,D1R
SC GLOBAL DEVELOPMENTS LTD,D2S
CACOLA FURNITURE INTL,D2U
SINOTEL TECHNOLOGIES LTD,D3W
CHINA NEW TOWN DEVT CO LTD,D4N
CHINA GREAT LAND HLDGS,D50
LIPPO MALLS INDO REIT TRUST,D5IU
Z-OBEE HOLDINGS LIMITED,D5N
DYNAMIC COLOURS LTD,D6U
C&G ENV PROTECT HOLDINGS LTD,D79
FIRST SHIP LEASE TRUST,D8DU
HANWELL HOLDINGS LTD,DM0
ST GROUP FOOD INDUSTRIES HOLDINGS LTD,DRX
CHINA OILFIELD TEC SERVICES GROUP LTD,DT2
MERMAID MARITIME PUBLIC CO LTD,DU4
EU YAN SANG INTERNATIONAL LTD,E02
ELEC & ELTEK INTERNATIONAL COMPANY LIMITED.,E16
ECS HLDGS LTD,E18
EUROPTRONIC GROUP LTD,E23
THE PLACE HOLDINGS LIMITED,E27
FRENCKEN GROUP LTD,E28
WEE HUR HOLDINGS LTD,E3B
GOLDEN AGRI-RESOURCES LTD,E5H
SOUND GLOBAL LTD,E6E
SAMKO TIMBER LTD,E6R
ROXY-PACIFIC HLDG LTD,E8Z
"CHINA SKY CHEMICAL FIBRE CO., LTD",E90
LIZHONG WHEEL GROUP LTD,E94
JOYAS INTERNATIONAL HLDGS LTD,E9L
FIRST RESOURCES LTD,EB5
KTL GLOBAL LIMITED,EB7
MERCATOR LINES (S) LTD,EE6
JES INTERNATIONAL HLDGS LTD,EG0
CHINA ANIMAL HEALTHCARE LTD,EP4
KSH HOLDINGS LTD,ER0
FOOD EMPIRE HOLDINGS LIMITED,F03
FDS NETWORKS GROUP LTD,F07
F J BENJAMIN HOLDINGS LTD,F10
FUNG CHOI MEDIA GROUP LTD,F11
FIBRECHEM TECHNOLOGIES LIMITED,F12
FU YU CORPORATION LTD,F13
GUOCOLAND LTD,F17
LOW KENG HUAT (SINGAPORE) LTD,F1E
FRAGRANCE GROUP LTD,F31
WILMAR INTERNATIONAL LTD,F34
MMP RESOURCES LTD,F3V
"COSCO SHIPPING INTERNATIONAL (SINGAPORE) CO., LTD.",F83
MYP LTD,F86
FRASER AND NEAVE LTD,F99
BOUSTEAD SINGAPORE LTD,F9D
ERATAT LIFESTYLE LTD,FO8
DAPAI INTL HLDG CO.,FP1
JASPER INVESTMENTS LTD,FQ7
CHINA SPORTS INTL,FQ8
BROTHERS (HLDGS) LTD,G03
GOODPACK LTD,G05
GREAT EASTERN HLDGS LTD,G07
GP BATTERIES INTERNATIONAL,G08
GUL TECHNOLOGIES SINGAPORE LTD,G09
NAM LEE PRESSED METAL INDUSTRIES LTD,G0I
GENTING SINGAPORE LIMITED,G13
GP INDUSTRIES LTD,G20
GUANGZHAO IND FOREST BIOGRPLTD,G21
GUTHRIE GTS LTD,G33
G. K. GOH HOLDINGS LTD,G41
GRAND BANKS YACHTS LTD,G50
CHINA ESSENCE GROUP LTD,G54
ANWELL TECHNOLOGIES LIMITED,G5X
CHINA MILK PRODUCTS GROUP LTD,G86
CHINA AVIATION OIL (SINGAPORE) CORPORATION LTD,G92
CHINA KUNDA TECHNOLOGY HOLDINGS LIMITED,GU5
HAW PAR CORPORATION LTD,H02
STAMFORD LAND CORPORATION LTD,H07
HOTEL ROYAL LTD,H12
HO BEE LAND LTD,H13
HOTEL PROPERTIES LIMITED,H15
HUAN HSIN HLDGS LTD,H16
HI-P INTERNATIONAL LTD,H17
HOTEL GRAND CENTRAL LTD,H18
HWA HONG CORPORATION LTD,H19
HOE LEONG CORPORATION LTD,H20
HONG LEONG ASIA LTD,H22
EUNETWORKS GROUP LTD,H23
HLH GROUP ,H27
HERSING CORP LTD,H28
HONG FOK CORPORATION LTD,H30
PAN PACIFIC HOTELS GRP LIMITED,H49
HTL INTERNATIONAL HLDGS LTD,H64
HONGWEI TECHNOLOGIES LIMITED,H80
INTRACO LTD,I06
ISDN HLDGS LTD,I07
RENAISSANCE UNITED LIMITED,I11
ISETAN (SINGAPORE) LTD,I15
INNOPAC HLDGS ,I26
IFS CAPITAL LTD,I49
FORISE INTERNATIONAL LTD,I5H
HENGXIN TECHNOLOGY LTD,I85
BM MOBILITY LTD.,I9T
MEMORIES GROUP LTD,IH4
SEROJA INVESTMENTS LTD,IW5
PEC LTD,IX2
JADASON ENTERPRISES LTD,J03
JUKEN TECHNOLOGY LTD,J15
JACKSPEED CORPORATION LTD,J17
CHINA JISHAN HOLDINGS LTD,J18
JETS TECHNICS INTL HLDGS LTD,J19
HOCK LIAN SENG HOLDINGS LTD,J2T
FRASERS CENTREPOINT TRUST,J69U
TIGER AIRWAYS HLDGS LTD,J7X
CDL HOSPITALITY TRUSTS,J85
ESR-REIT,J91U
GRAND VENTURE TECHNOLOGY LTD,JLB
SINO GRANDNESS FOOD IND GP LTD,JS5
CAPITAMALLS ASIA LTD,JS8
LENDLEASE GLOBAL COMMERCIAL REIT,JYEU
KHONG GUAN LIMITED,K03
KIAN ANN ENGINEERING LTD,K04
KXD DIGITAL ENTERTAINMENT LTD,K07
KEPPEL T&T,K11
KINGBOARD COPPER FOIL HDGS LTD,K14
KEPPEL LAND LTD,K17
T T J HOLDINGS LTD,K1Q
RAFFLES UNITED HOLDING LTD,K22
KARIN TECHNOLOGY HLDGS LTD,K29
ARA LOGOS LOGISTICS TRUST,K2LU
CHINA MINZHONG FOOD CORP LTD,K2N
KEPPEL REIT,K71U
KOH BROTHERS GROUP LTD,K75
HU AN CABLE HLDGS,KI3
